analysis_id,user_code,subject_code,exam_kind,exam_num,wrong_answer,insert_date
,100020001,KOR,202001,1,,now()
,100020001,KOR,202001,2,3,now()
,100020001,KOR,202001,3,,now()
,100020001,KOR,202001,4,,now()
,100020001,KOR,202001,5,,now()
,100020001,KOR,202001,6,,now()
,100020001,KOR,202001,7,,now()
,100020001,KOR,202001,8,,now()
,100020001,KOR,202001,9,,now()
,100020001,KOR,202001,10,,now()
,100020001,KOR,202001,11,,now()
,100020001,KOR,202001,12,,now()
,100020001,KOR,202001,13,,now()
,100020001,KOR,202001,14,,now()
,100020001,KOR,202001,15,,now()
,100020001,KOR,202001,16,,now()
,100020001,KOR,202001,17,,now()
,100020001,KOR,202001,18,,now()
,100020001,KOR,202001,19,,now()
,100020001,KOR,202001,20,,now()
,100020001,ENG,202001,1,,now()
,100020001,ENG,202001,2,,now()
,100020001,ENG,202001,3,,now()
,100020001,ENG,202001,4,,now()
,100020001,ENG,202001,5,,now()
,100020001,ENG,202001,6,,now()
,100020001,ENG,202001,7,,now()
,100020001,ENG,202001,8,,now()
,100020001,ENG,202001,9,,now()
,100020001,ENG,202001,10,,now()
,100020001,ENG,202001,11,,now()
,100020001,ENG,202001,12,,now()
,100020001,ENG,202001,13,,now()
,100020001,ENG,202001,14,2,now()
,100020001,ENG,202001,15,2,now()
,100020001,ENG,202001,16,,now()
,100020001,ENG,202001,17,,now()
,100020001,ENG,202001,18,,now()
,100020001,ENG,202001,19,,now()
,100020001,ENG,202001,20,,now()
,100020001,MAT,202001,1,3,now()
,100020001,MAT,202001,2,,now()
,100020001,MAT,202001,3,,now()
,100020001,MAT,202001,4,,now()
,100020001,MAT,202001,5,,now()
,100020001,MAT,202001,6,,now()
,100020001,MAT,202001,7,,now()
,100020001,MAT,202001,8,,now()
,100020001,MAT,202001,9,,now()
,100020001,MAT,202001,10,,now()
,100020001,MAT,202001,11,,now()
,100020001,MAT,202001,12,,now()
,100020001,MAT,202001,13,,now()
,100020001,MAT,202001,14,,now()
,100020001,MAT,202001,15,,now()
,100020001,MAT,202001,16,,now()
,100020001,MAT,202001,17,,now()
,100020001,MAT,202001,18,,now()
,100020001,MAT,202001,19,,now()
,100020001,MAT,202001,20,,now()
,100020001,PHL,202001,1,,now()
,100020001,PHL,202001,2,,now()
,100020001,PHL,202001,3,,now()
,100020001,PHL,202001,4,,now()
,100020001,PHL,202001,5,,now()
,100020001,PHL,202001,6,4,now()
,100020001,PHL,202001,7,,now()
,100020001,PHL,202001,8,,now()
,100020001,PHL,202001,9,,now()
,100020001,PHL,202001,10,,now()
,100020001,PHL,202001,11,,now()
,100020001,PHL,202001,12,,now()
,100020001,PHL,202001,13,,now()
,100020001,PHL,202001,14,,now()
,100020001,PHL,202001,15,,now()
,100020001,PHL,202001,16,,now()
,100020001,PHL,202001,17,,now()
,100020001,PHL,202001,18,,now()
,100020001,PHL,202001,19,,now()
,100020001,PHL,202001,20,,now()
,100020001,HIS,202001,1,,now()
,100020001,HIS,202001,2,,now()
,100020001,HIS,202001,3,,now()
,100020001,HIS,202001,4,,now()
,100020001,HIS,202001,5,,now()
,100020001,HIS,202001,6,,now()
,100020001,HIS,202001,7,,now()
,100020001,HIS,202001,8,,now()
,100020001,HIS,202001,9,,now()
,100020001,HIS,202001,10,,now()
,100020001,HIS,202001,11,,now()
,100020001,HIS,202001,12,,now()
,100020001,HIS,202001,13,,now()
,100020001,HIS,202001,14,,now()
,100020001,HIS,202001,15,,now()
,100020001,HIS,202001,16,,now()
,100020001,HIS,202001,17,,now()
,100020001,HIS,202001,18,,now()
,100020001,HIS,202001,19,,now()
,100020001,HIS,202001,20,,now()
,100020001,ECO,202001,1,,now()
,100020001,ECO,202001,2,,now()
,100020001,ECO,202001,3,,now()
,100020001,ECO,202001,4,,now()
,100020001,ECO,202001,5,,now()
,100020001,ECO,202001,6,,now()
,100020001,ECO,202001,7,,now()
,100020001,ECO,202001,8,,now()
,100020001,ECO,202001,9,,now()
,100020001,ECO,202001,10,,now()
,100020001,ECO,202001,11,,now()
,100020001,ECO,202001,12,,now()
,100020001,ECO,202001,13,,now()
,100020001,ECO,202001,14,,now()
,100020001,ECO,202001,15,,now()
,100020001,ECO,202001,16,,now()
,100020001,ECO,202001,17,,now()
,100020001,ECO,202001,18,,now()
,100020001,ECO,202001,19,,now()
,100020001,ECO,202001,20,,now()
,100020001,PHY,202001,1,,now()
,100020001,PHY,202001,2,2,now()
,100020001,PHY,202001,3,,now()
,100020001,PHY,202001,4,,now()
,100020001,PHY,202001,5,,now()
,100020001,PHY,202001,6,,now()
,100020001,PHY,202001,7,,now()
,100020001,PHY,202001,8,,now()
,100020001,PHY,202001,9,,now()
,100020001,PHY,202001,10,,now()
,100020001,PHY,202001,11,,now()
,100020001,PHY,202001,12,,now()
,100020001,PHY,202001,13,,now()
,100020001,PHY,202001,14,,now()
,100020001,PHY,202001,15,,now()
,100020001,PHY,202001,16,,now()
,100020001,PHY,202001,17,,now()
,100020001,PHY,202001,18,,now()
,100020001,PHY,202001,19,,now()
,100020001,PHY,202001,20,,now()
,100020001,BIO,202001,1,4,now()
,100020001,BIO,202001,2,,now()
,100020001,BIO,202001,3,,now()
,100020001,BIO,202001,4,,now()
,100020001,BIO,202001,5,,now()
,100020001,BIO,202001,6,,now()
,100020001,BIO,202001,7,,now()
,100020001,BIO,202001,8,,now()
,100020001,BIO,202001,9,,now()
,100020001,BIO,202001,10,,now()
,100020001,BIO,202001,11,,now()
,100020001,BIO,202001,12,,now()
,100020001,BIO,202001,13,,now()
,100020001,BIO,202001,14,,now()
,100020001,BIO,202001,15,,now()
,100020001,BIO,202001,16,,now()
,100020001,BIO,202001,17,,now()
,100020001,BIO,202001,18,,now()
,100020001,BIO,202001,19,,now()
,100020001,BIO,202001,20,,now()
,100020001,FOR,202001,1,,now()
,100020001,FOR,202001,2,3,now()
,100020001,FOR,202001,3,,now()
,100020001,FOR,202001,4,,now()
,100020001,FOR,202001,5,,now()
,100020001,FOR,202001,6,,now()
,100020001,FOR,202001,7,,now()
,100020001,FOR,202001,8,,now()
,100020001,FOR,202001,9,,now()
,100020001,FOR,202001,10,,now()
,100020001,FOR,202001,11,,now()
,100020001,FOR,202001,12,,now()
,100020001,FOR,202001,13,,now()
,100020001,FOR,202001,14,,now()
,100020001,FOR,202001,15,,now()
,100020001,FOR,202001,16,,now()
,100020001,FOR,202001,17,,now()
,100020001,FOR,202001,18,,now()
,100020001,FOR,202001,19,,now()
,100020001,FOR,202001,20,,now()
,100020001,KOR,202002,1,,now()
,100020001,KOR,202002,2,3,now()
,100020001,KOR,202002,3,,now()
,100020001,KOR,202002,4,,now()
,100020001,KOR,202002,5,,now()
,100020001,KOR,202002,6,,now()
,100020001,KOR,202002,7,,now()
,100020001,KOR,202002,8,,now()
,100020001,KOR,202002,9,,now()
,100020001,KOR,202002,10,,now()
,100020001,KOR,202002,11,,now()
,100020001,KOR,202002,12,,now()
,100020001,KOR,202002,13,,now()
,100020001,KOR,202002,14,,now()
,100020001,KOR,202002,15,,now()
,100020001,KOR,202002,16,,now()
,100020001,KOR,202002,17,,now()
,100020001,KOR,202002,18,,now()
,100020001,KOR,202002,19,,now()
,100020001,KOR,202002,20,,now()
,100020001,ENG,202002,1,,now()
,100020001,ENG,202002,2,,now()
